CVE,Application,Description,File,MSF module
2013-4231,libtiff,rgb2ycbcr stack buffer overflow,libtiff-4.0.3.txt,
2013-4232,libtiff,tiff2pdf use after free,libtiff-4.0.3.txt,
2013-4276,Little CMS color engine,icctrans / tiffdiff stack buffer overflow,lcms-1.19.txt,
2013-4396,X.org,dixfonts use after free,xorg-1.12.4.txt,
2013-4472,poppler,gfile insecure temporary file,poppler-0.24.2.txt,
2013-4474,poppler,pdfseparate user controlled format string,poppler-0.24.2.txt,
2013-6040,MW6 ActiveX controls,buffer overflow / RCE,mw6/*,
2014-0334,CMS Made Simple,stored / reflected XSS, cmsmadesimple-1.11.9.txt,
2014-0526,Acrobat Reader X/XI,JPEG processing memory corruption,,
2014-1201,Lorex Tech. ActiveX control,buffer overflow / RCE,lorex/*,
2014-1603,GetSimple CMS,stored / reflected XSS,getsimplecms-3.3.1.txt,
2014-1836,ImpressCMS,file deletion,impresscms-1.3.5.txt,
2014-1860,Contao CMS,PHP object injection / RCE,contao-3.2.4.txt,
2014-2027,EGroupware,PHP object injection / file deletion,egroupware-1.8.005.txt,
2014-2921,Pimcore CMS,PHP object injection / RCE,pimcore-2.1.0.txt,
2014-2922,Pimcore CMS,PHP object injection / file deletion,pimcore-2.1.0.txt,
2014-3996,ManageEngine DC/PMP/IT360,LinkViewFetchServlet blind SQLi,ManageEngine/me_dc_pmp_it360_sqli.txt,manageengine_dc_pmp_sqli.rb
2014-3997,ManageEngine PMP/IT360,MetadataServlet blind SQLi,ManageEngine/me_dc_pmp_it360_sqli.txt,
2014-5005,ManageEngine DesktopCentral,file upload / RCE,ManageEngine/me_dc9_file_upload.txt,dc_statusupdate_file_upload.rb
2014-5006,ManageEngine DesktopCentral,file upload / RCE,ManageEngine/me_dc9_file_upload.txt,
2014-5007,ManageEngine DesktopCentral,file upload / RCE,ManageEngine/me_dc9_file_upload.txt,
2014-5377,ManageEngine DeviceExpert,user credential disclosure,ManageEngine/me_deviceexpert-5.txt,
2014-5445,Awaiting vendor fix,,,
2014-5446,Awaiting vendor fix,,,
2014-6034,ManageEngine OpManager/Social IT/IT360,file upload / RCE,ManageEngine/me_opmanager_socialit_it360.txt,opmanager_socialit_file_upload.rb
2014-6035,ManageEngine OpManager/Social IT/IT360,file upload / RCE,ManageEngine/me_opmanager_socialit_it360.txt,
2014-6036,ManageEngine OpManager/Social IT/IT360,file upload / RCE,ManageEngine/me_opmanager_socialit_it360.txt,
2014-6038,Awaiting vendor fix,,,
2014-6039,Awaiting vendor fix,,,Y
